* ************************
*
* name,colour,value,price rent,price mortgage,building price,1house rent,2 house rent, 3 house rent, 4 house rent,hotel rent,skyscraper rent
*
* ************************

Old Kent Road,Brown,60,2,50,30,10,30,90,160,250,950
Whitechapel Road,Brown,60,2,50,30,10,30,90,160,250,950
Elephant And Castle,Brown,80,4,50,30,50,10,30,90,160,250,950

The Angel Islington,Cyan,100,6,50,50,30,90,270,400,550,1050
Euston Road,Cyan,100,6,50,50,30,90,270,400,550,1050
Pentonville,Cyan,120,8,60,50,40,100,300,450,600,1050
Edgware Road,Cyan,120,8,60,50,40,100,300,450,600,1050

Pall Mall,Pink,140,10,70,100,50,150,450,625,750,1250
Whitehall,Pink,140,10,70,100,50,150,450,625,750,1250
Northumberland Avenue,Pink,160,12,80,100,60,180,500,700,900,1250
Downing Street,Pink,160,12,80,100,60,180,500,700,900,1250

Bow Street,Orange,180,14,90,100,70,200,550,750,950,1500
Marlborough Street,Orange,180,14,90,100,70,200,550,750,950,1500
Vine Street,Orange,200,16,100,100,80,220,600,800,1000,1500
High Holborn,Orange,200,16,100,100,80,220,600,800,1000,1500

Strand,Red,220,18,110,150,90,250,700,875,1050,2100
Fleet Street,Red,220,18,110,150,90,250,700,875,1050,2100
Trafalgar Square,Red,240,20,120,150,100,300,750,925,1100,2100
Aldwych,Red,240,20,120,150,100,300,750,925,1100,2100

Leicester Street,Yellow,260,22,150,150,110,330,800,975,1150,2200
Coventry Street,Yellow,260,22,150,150,110,330,800,975,1150,2200
Piccadilly,Yellow,280,22,150,140,120,360,850,1025,1200,2200
Shaftesbury Avenue,Yellow,280,22,150,140,120,360,850,1025,1200,2200

Regent Street,Green,300,26,200,150,130,390,900,1100,1275,2275
Oxford Street,Green,300,26,200,150,130,390,900,1100,1275,2275
Bond Street,Green,300,26,200,150,130,390,900,1100,1275,2275
Savile Row,Green,320,28,200,160,150,450,1000,1200,1400,2275

Park Lane,Blue,350,35,175,200,175,500,1100,1300,1500,2500
Mayfair,Blue,350,35,175,200,175,500,1100,1300,1500,2500
Knightsbridge,Blue,400,50,200,200,200,600,1400,1700,2000,2500



